Absolute Time (s),Current (A),Voltage (V)
2.6226043701171875e-06,0.0069759,1.26208
0.006516622604370117,0.0276714,5.0
0.016516622604370118,0.0276719,5.0
0.026516622604370117,0.027672,5.0
0.036516622604370115,0.0276719,5.0
0.04651662260437012,0.0276721,5.0
0.05651662260437012,0.0276721,5.0
0.06651662260437012,0.0276721,5.0
0.07651662260437012,0.027672,5.0
0.08651662260437011,0.0276721,5.0
0.09651662260437012,0.0276721,5.0
0.10651662260437011,0.0276723,5.0
0.11651662260437012,0.0276724,5.0
0.1265166226043701,0.0276725,5.0
0.1365166226043701,0.0276725,5.0
0.14651662260437012,0.0276725,5.0
0.1565166226043701,0.0276723,5.0
0.1665166226043701,0.0276724,5.0
0.17651662260437012,0.0276724,5.0
0.18651662260437013,0.0276725,4.99999
0.1965166226043701,0.0276725,5.0
0.20651662260437012,0.0276725,5.0
0.21651662260437013,0.0276727,5.0
0.2265166226043701,0.0276727,5.0
0.23651662260437012,0.0276727,5.0
0.24651662260437013,0.0276729,5.0
0.25651662260437014,0.0276728,5.0
0.2665166226043701,0.0276729,5.0
0.2765166226043701,0.0276728,5.0
0.2865166226043701,0.0276728,5.0
0.2965166226043701,0.027673,5.0
0.3065166226043701,0.027673,5.0
0.31651662260437013,0.0276731,5.0
0.32651662260437014,0.027673,5.0
0.3365166226043701,0.0276731,5.0
0.3465166226043701,0.0276731,5.0
0.3565166226043701,0.0276731,5.0
0.3665166226043701,0.0276731,5.0
0.37651662260437013,0.0276731,5.0
0.38651662260437014,0.0276732,5.0
0.3965166226043701,0.0276733,5.0
0.4065166226043701,0.027673,5.0
0.4165166226043701,0.0276732,5.0
0.4265166226043701,0.0276733,5.0
0.43651662260437013,0.0276734,5.0
0.44651662260437014,0.0276735,5.0
0.4565166226043701,0.0276735,5.0
0.4665166226043701,0.0276735,5.0
0.4765166226043701,0.0276736,5.0
0.4865166226043701,0.0276736,5.0
0.49651662260437013,0.0276737,5.0
0.5065166226043701,0.0276736,5.0
0.5165166226043701,0.0276738,5.0
0.5265166226043702,0.0276735,5.0
0.5365166226043702,0.0276735,5.0
0.5465166226043702,0.0276735,5.0
0.5565166226043701,0.0276738,5.0
0.5665166226043701,0.0276738,5.0
0.5765166226043701,0.0276737,5.0
0.5865166226043701,0.0276736,5.0
0.5965166226043701,0.0276735,5.0
0.6065166226043701,0.0276737,5.0
0.6165166226043701,0.0276737,5.0
0.6265166226043701,0.0276738,5.0
0.6365166226043701,0.0276739,5.0
0.6465166226043702,0.0276738,5.0
0.6565166226043702,0.0276738,5.0
0.6665166226043702,0.027674,5.0
0.6765166226043701,0.0276741,5.0
0.6865166226043701,0.0276739,5.0
0.6965166226043701,0.0276736,5.0
0.7065166226043701,0.0276739,5.0
0.7165166226043701,0.0276739,5.0
0.7265166226043701,0.0276739,5.0
0.7365166226043701,0.0276738,5.0
0.7465166226043701,0.027674,5.0
0.7565166226043701,0.0276741,5.0
0.7665166226043701,0.0276742,5.0
0.7765166226043702,0.0276743,5.0
0.7865166226043702,0.0276739,5.0
0.7965166226043702,0.027674,5.0
